,Wavelength (nm),Mean Curve (s.u.),Std (s.u.),Correction Value,Mean Corrected (s.u.),Std Corrected (s.u.),Transmittance,Std Transmittance,Absorbance,Std Absorbance
0,365.087,8.8658994,8.352197302095494,1.0066610348101623,5.5577494000000005,8.407831579066096,1.0,1.7821547442654497,0.0,0.7739799713321857
1,365.258,467.7945999999999,198.4816631360187,0.3833244583415063,103.59488000000002,76.08287601233569,1.0,0.8481786314255907,0.0,0.36835929929638606
2,365.43,380.5639,91.8837006900027,0.334377136414856,64.81114,30.72380871992283,1.0,0.5319947443663477,0.0,0.23104238187983586
3,365.601,161.82472,102.89061401279322,0.2041200725732187,33.0316735905408,21.002039599394386,0.9244443327308415,0.8312404272233397,0.03411923563050457,0.39050824143362084
4,365.772,488.9125,157.81653969609778,0.020210654300256176,6.60317,3.189575526660488,1.0,0.5809636543373379,0.0,0.252309309265054
5,365.943,4.2873742,5.168597794331104,0.2010239367876474,0.8618648401657905,1.0390118762883898,0.5365698843490583,0.9147925925020076,0.27037370629705654,0.7404242887980285
6,366.114,8.596264000000001,11.697283702315852,0.5420637555205242,3.198928,6.340673533066353,1.0,2.4042528838530766,0.0,1.0441537605573707
7,366.285,7.887726000000001,6.710661015036,3.5634153207876778,17.999159999999996,23.912872273591873,1.0,1.5776159600458275,0.0,0.6851499060104038
8,366.456,15.126624000000001,6.595786352737936,1.1228957916349356,11.953667000000001,7.406380738012569,1.0,0.7576423669581175,0.0,0.329039899226029
9,366.628,6.5306961,8.40831629692219,1.1220652546765955,7.327867182661949,9.434679567107365,0.5580941518138007,1.0161832568603724,0.2532925283672362,0.7907676144296433
10,366.799,17.417649,7.742433710239243,2.196748497102778,6.575714,17.00817961688594,1.0,2.6244337012245724,0.0,1.1397770745627591
11,366.97,11.701080999999999,8.69948117026234,0.7450680305416982,7.1900189999999995,6.4817053022619495,1.0,1.1685185422044255,0.0,0.507481154881014
12,367.141,7.871544000000002,6.383509071318377,2.111658271215818,11.491298,13.479789729830657,1.0,1.426073975830683,0.0,0.6193360584890969
13,367.312,113.9547,91.68631851543611,0.25329862545998755,28.864568874705245,23.224018453446572,0.8424241653617457,0.9585573615712015,0.07446918368779733,0.4941645667765846
14,367.483,10.522920000000003,7.888513953565653,2.1369342339531374,10.504646,16.857235522391452,1.0,1.7712056935393832,0.0,0.7692248590197761
15,367.654,3.118293,4.267476275247586,0.3329190880723383,1.038139261902356,1.4207243099257651,0.3969327036978482,0.7682208247584009,0.40128311764512725,0.840530553334568
16,367.825,13.5749912,10.18016319483617,1.2115347783201489,11.133142000000001,12.33362175951878,1.0,1.3377842030161893,0.0,0.5809922973472705
17,367.997,7.9567549999999985,5.687481870755387,0.6093469462394362,4.07195,3.4656497097369505,1.0,1.1114470410499322,0.0,0.4826953168556825
18,368.168,9.171156,9.187380501988802,0.2915394195507693,2.673753496849555,2.678483578741871,0.779865111396109,1.1048469274887185,0.10798050813296137,0.6152716885835887
19,368.339,318.38707,155.81923672359616,0.3586986693008368,94.41218,55.89215286422603,1.0,0.7681015580629559,0.0,0.3335822682080319
20,368.51,10.672297,8.486847513445792,1.1692666101624711,8.9428803,9.923387423012558,1.0,1.3651672765331426,0.0,0.5928846150732344
21,368.681,331.3302,94.95212202662982,0.9358728444461347,184.802047,88.86311252725854,1.0,0.5597762338125253,0.0,0.24310772944536418
22,368.852,17.4649051,12.61101534293786,0.8427703646477873,11.609316,10.628189999146581,1.0,1.1659821192390925,0.0,0.5063796003833971
23,369.023,3.143986,5.001375837137617,1.6954934977604248,5.330607820049806,8.479800211722932,0.5329917062798468,1.199069447162929,0.27327954884382355,0.9770306708078942
24,369.195,14.956039,7.476602430570252,0.9059876518457716,12.449324,6.773709479856731,1.0,0.7388862514710399,0.0,0.3208942217680511
25,369.366,387.053,105.22721658202309,0.9244765063365417,194.85587,97.28008955726732,1.0,0.5684662613000236,0.0,0.2468817604307723
26,369.537,12.472570000000001,9.207708854648914,2.1400998796309736,9.359479,19.70541661151119,1.0,2.2310734786583533,0.0,0.9689429005020151
27,369.708,486.7433,152.9550561688302,0.5037812825096317,133.62422999999998,77.05589436306603,1.0,0.6567235940947492,0.0,0.28521143305102054
28,369.879,240.58829999999998,108.70401622391879,0.43079215508572655,76.35884,46.828837415575755,1.0,0.7617419147887282,0.0,0.3308203102271617
29,370.05,274.1607,56.15390440752985,1.0930366715990685,187.44687000000002,61.37827677089869,1.0,0.3862266206557574,0.0,0.16773609011493593
30,370.221,14.283299759999997,6.423175614488562,0.8437203353781402,6.029698000000001,5.419363883648981,1.0,1.0050033028944818,0.0,0.4364673887416158
31,370.393,225.8082,82.65465100621985,0.5405902564322511,102.0942,44.68229898277061,1.0,0.5705513422522455,0.0,0.2477872995826438
32,370.564,11.634030999999998,9.452776935929938,1.9418390395828105,12.504055,18.355771286656733,1.0,1.6778424682187805,0.0,0.7286777254503484
