,Wavelength (nm),Mean Curve,Std,Correction Value,Mean Corrected,Std Corrected,Transmittance,Std Transmittance,Absorbance,Std Absorbance
0,365.087,8.180767999999999,6.821911458324272,1.5210346019501757,5.5577494000000005,10.376363379551602,1.0,2.0447743875872177,0.0,0.8880342332662297
1,365.258,122.26319000000001,113.95485732852681,2.8839538177111916,103.59488000000002,328.64054583933904,1.0,3.306447444997775,0.0,1.4359718800656391
2,365.43,81.276333,85.25912378914998,inf,64.81114,inf,1.0,inf,0.0,inf
3,365.601,85.07839,92.27555893468703,2.6219871795436256,35.731381999999996,241.94533251197163,1.0,6.85754134641071,0.0,2.978192366169567
4,365.772,175.35728,120.90438594205588,0.08907157781995408,6.60317,10.769144421211593,1.0,1.7706572296121261,0.0,0.7689866641626454
5,365.943,4.2002569,4.577368611415132,0.619636261233024,1.606249,2.8363035726626706,1.0,2.075006665121266,0.0,0.9011639445746346
6,366.114,6.249537800000001,5.3239709715526775,9.199036078056972,3.198928,48.97540104584111,1.0,15.333624632051164,0.0,6.6593085652756
7,366.285,4.053373,3.846020516375465,21.10229462991882,17.999159999999996,81.15985808926757,1.0,4.607842372180918,0.0,2.0011605157181624
8,366.456,6.8899641,5.886458980742606,6.742463871198094,11.953667000000001,39.689237006946584,1.0,3.4284135804479163,0.0,1.4889410996707002
9,366.628,10.186631000000002,7.187897201619469,1.2754825475257063,12.992870058584336,9.168037434074495,0.9895436986261584,0.9874639697627808,0.004565022424576562,0.4333817230524059
10,366.799,4.406245,7.973198678372753,2.934378795870628,6.575714,23.39638513708072,1.0,3.9917075695889483,0.0,1.7335765708439206
11,366.97,5.871019,5.893401511019676,1.983097763179201,7.1900189999999995,11.687191354020044,1.0,1.9104465691082666,0.0,0.8296964029347195
12,367.141,6.5809522000000005,8.950508801015927,3.490151080047854,11.491298,31.23862795884356,1.0,3.0397027763868403,0.0,1.3201261424107988
13,367.312,89.601258,97.34949818040089,1.1083582700492767,34.2637,107.89812139339433,1.0,3.331207925421102,0.0,1.4467252200827636
14,367.483,5.522364999999999,6.6353596354007065,2.807244190104805,10.504646,18.62707478573457,1.0,2.141967305181677,0.0,0.9302445810575808
15,367.654,0.149637,0.448911,1.9316741225903036,0.2890499206820452,0.8671497620461358,0.110518280861209,0.46888935505224194,0.9565658792594839,1.8425554391141261
16,367.825,6.0328503,6.408435445036082,3.375560501746276,11.133142000000001,21.632061566254617,1.0,2.214444898196685,0.0,0.9617211997656283
17,367.997,6.124734600000001,8.670468393214891,3.3711488373864333,4.07195,29.229439443382198,1.0,7.316502354327407,0.0,3.1775165993165433
18,368.168,3.91755,4.478387914906434,2.986691594775892,3.4284820000000003,13.375563543596979,1.0,4.065343543778309,0.0,1.7655562681039303
19,368.339,185.26650999999998,120.67682607543546,1.9691851436806613,94.41218,237.63501309428256,1.0,2.59991281664323,0.0,1.1291277896976957
20,368.51,3.594008,5.171106066446134,2.0991853840471513,7.544489063748534,10.855110274041282,0.8436307778544831,1.716610717757757,0.07384758444637449,0.883697681341312
21,368.681,113.23460999999998,110.92920105125116,2.568968634463722,184.802047,284.97363814678437,1.0,1.8269120328918451,0.0,0.7934178148075803
22,368.852,8.297307,8.294480400653256,2.2113517793668533,11.609316,18.34201399290807,1.0,1.8696328020894073,0.0,0.811971209132744
23,369.023,4.5224879,8.131324092841933,1.842102878428492,8.330887978248025,14.978735516859071,0.832980843507484,2.1180385937124218,0.07936498617383209,1.1042900696661262
24,369.195,11.46897,11.057265854183845,3.130470511378181,12.449324,34.6144446929914,1.0,2.9428340243604985,0.0,1.278056577936904
25,369.366,121.013736,82.36788854881047,2.039724385376857,194.85587,168.0077908450119,1.0,1.098498563095644,0.0,0.4770718643310893
26,369.537,6.163674,7.21302517544643,3.404211928353354,9.359479,24.554666341767778,1.0,2.872676957474258,0.0,1.2475877509216924
27,369.708,176.30540000000002,116.54991169039984,0.9528990940899233,133.62422999999998,111.06030526604258,1.0,1.0619808351101316,0.0,0.46121241657533724
28,369.879,80.84504,93.0431671417864,1.3042499620385075,76.35884,121.35154721261742,1.0,1.962186132046461,0.0,0.8521666096148633
29,370.05,160.05155,121.57594584797808,4.917795491640318,187.44687000000002,597.885638383094,1.0,3.2788292774394385,0.0,1.4239774622947743
30,370.221,4.629894,5.6406329380756555,5.380853197975342,6.029698000000001,30.35141778344944,1.0,5.178991418627951,0.0,2.249207394934413
31,370.393,101.28639999999999,93.71759605346267,8.052990584052067,102.0942,754.70691857853,1.0,7.449942643541218,0.0,3.235468980585675
32,370.564,4.5473930000000005,6.214763360486142,10.501784724438545,12.504055,65.26610692515372,1.0,5.3955489806640085,0.0,2.3432571491410936
33,370.735,5.476374,7.212810333163072,9.871509886040602,7.469505,71.20132850995508,1.0,9.622829097331888,0.0,4.179141577269288
34,370.906,6.33564,8.232836912135452,2.690829335205964,15.6107549,22.153159075140557,1.0,1.924161978662254,0.0,0.8356529296210593
35,371.077,9.303735,7.950022725759029,1.9226572912806785,13.194799,15.28516915952769,1.0,1.439483408897538,0.0,0.6251597012754829
36,371.248,110.73815200000001,112.8028700349328,3.650214739232696,245.71979000000002,411.7546988292619,1.0,1.9610293565176522,0.0,0.851664228385901
37,371.419,141.09459,114.22894390588097,3.2537930369642187,396.928,371.6773423007318,1.0,1.2378426598946237,0.0,0.5375882366566787
38,371.591,105.416514,81.5457650499875,1.5222949874581142,129.01755999999997,124.13670938403304,1.0,1.2345691638539187,0.0,0.5361665753896684
