Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
375.869,22.4521,36.0015,0.0,20.6925,40.3298,27.1746,43.5097,21.5681,28.7022,6.6295
376.041,514.52,579.365,468.563,688.255,573.983,747.212,574.912,272.025,663.169,863.443
376.212,253.225,339.068,331.268,251.633,460.59,343.743,432.702,119.044,457.307,461.715
376.383,640.296,664.585,870.055,655.949,726.159,770.988,931.265,814.444,1010.63,576.768
376.554,0.0,24.1542,0.0,3.11081,23.8404,26.523,13.64,25.2856,13.0319,6.79715
376.725,33.9145,18.2457,22.4312,46.3544,23.1202,30.9911,22.204,17.7388,29.788,18.0919
376.896,0.0,17.2858,18.1945,18.6339,28.9869,12.828,18.2404,19.7826,27.7358,14.4013
377.068,24.7733,16.2043,38.6852,47.0436,36.9166,22.6691,19.8895,28.2584,46.5882,12.7737
377.239,15.8208,17.3552,23.7252,18.9763,13.2184,35.8349,9.84469,8.92927,12.7865,15.5629
377.41,622.743,497.438,650.993,457.613,354.582,391.559,602.496,543.293,760.89,662.545
377.581,754.268,908.382,851.906,489.576,539.75,897.542,1131.5,695.59,473.937,886.839
377.752,247.07,502.179,359.916,456.428,539.362,597.757,632.557,612.176,342.859,472.91
377.923,13.1456,17.9568,25.419,35.9619,26.3811,25.2408,35.8415,14.7191,31.1375,18.3491
378.095,281.614,456.783,233.756,486.278,342.218,430.173,387.856,620.965,361.693,343.587
378.266,395.612,385.685,429.322,257.794,247.394,399.199,329.531,221.19,284.614,361.085
378.437,416.098,422.567,488.058,306.132,592.245,653.31,459.47,497.846,214.95,202.1
378.608,196.516,408.597,382.002,488.109,332.921,392.695,456.866,497.422,510.736,189.431
378.779,23.5666,26.4664,31.7441,22.3531,44.1749,35.3888,25.7825,39.6127,12.3404,40.7851
378.95,488.681,497.562,632.027,535.439,472.012,462.547,297.945,543.936,309.0,484.742
379.122,338.034,330.679,359.376,406.17,55.4096,291.16,145.102,117.201,459.355,166.872
379.293,32.2193,29.6577,23.1936,51.7588,38.3551,43.4953,24.6048,34.0659,22.9045,18.035
379.464,34.4552,37.355,20.7874,25.0497,36.495,40.543,23.2909,20.464,54.3586,42.1163
379.635,969.311,785.863,1115.91,1115.27,982.359,954.532,930.582,664.603,840.591,732.243
379.806,709.497,946.571,832.873,618.754,799.11,770.276,718.056,638.09,834.775,686.107
379.977,53.6723,18.8889,26.6242,40.1709,49.4316,27.8113,47.9693,29.0315,45.4498,30.4769
380.149,559.8,475.594,545.644,757.146,659.673,390.306,469.42,579.293,496.008,655.349
