Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
602.895,437.849,465.651,465.366,444.019,448.439
603.066,390.372,395.679,429.725,412.379,406.226
603.237,396.918,347.378,368.02,360.79,376.44
603.408,284.669,269.941,299.159,268.153,283.796
603.579,216.545,220.523,221.328,216.985,192.669
603.75,200.239,209.462,204.14,214.458,223.432
603.921,197.631,201.605,200.001,202.009,200.704
604.093,187.956,240.802,224.798,203.016,210.879
604.264,238.211,222.132,223.799,220.786,220.357
604.435,241.211,221.99,219.729,211.89,229.623
604.606,218.56,242.587,213.948,222.708,234.052
604.777,233.665,235.453,226.876,248.055,236.729
604.948,223.84,248.513,234.269,242.59,239.763
605.119,252.172,258.739,266.045,247.617,266.088
605.291,262.155,268.504,269.075,271.719,262.82
605.462,270.036,264.867,255.223,273.087,258.745
605.633,246.055,257.166,258.169,249.317,235.011
605.804,254.21,247.359,260.448,259.837,261.353
605.975,240.669,248.31,240.641,274.057,272.761
606.146,271.948,273.52,236.264,260.505,262.454
606.317,309.765,287.362,296.564,296.817,297.253
606.489,311.733,305.964,298.968,314.984,320.385
606.66,321.517,313.187,313.098,322.823,321.103
606.831,295.314,300.978,311.007,321.592,288.227
607.002,294.87,280.731,297.431,274.867,291.228
607.173,254.531,260.402,267.4,245.309,259.06
607.344,267.114,262.03,224.567,247.37,245.869
607.515,252.601,273.883,268.862,261.615,259.689
607.687,258.043,251.448,259.742,247.308,273.756
607.858,269.825,257.909,259.528,266.631,259.136
608.029,294.258,284.716,276.28,287.649,289.787
608.2,263.191,280.175,298.057,267.704,267.704
608.371,281.81,285.952,282.007,274.988,273.706
608.542,287.145,281.034,280.296,282.253,272.003
608.713,258.487,272.035,267.021,262.995,261.285
608.885,266.291,278.305,266.278,257.582,283.776
609.056,271.117,265.473,278.54,259.245,263.492
609.227,237.71,242.908,237.91,239.436,231.983
609.398,209.49,214.677,209.479,212.911,218.427
609.569,171.764,194.346,200.606,192.367,187.061
609.74,161.109,183.029,166.821,159.864,166.853
609.911,149.743,146.235,133.198,143.409,141.286
610.082,146.312,114.016,124.919,124.53,128.762
610.254,94.534,119.02,111.917,138.252,117.039
610.425,113.709,133.715,114.548,115.641,128.982
610.596,120.42,130.705,125.93,130.212,128.511
610.767,144.384,145.964,153.476,156.262,153.084
610.938,161.77,158.278,152.251,149.749,174.054
611.109,173.415,163.974,168.743,174.712,180.22
611.28,195.631,182.601,186.518,191.423,201.583
611.451,223.838,222.673,203.764,210.347,212.033
611.623,243.967,240.9,251.777,249.277,249.273
611.794,275.268,247.346,263.673,271.926,258.434
611.965,279.101,286.801,256.733,267.315,246.636
612.136,282.91,266.574,269.836,268.394,288.837
612.307,272.257,295.337,274.571,274.605,267.013
612.478,246.671,263.415,236.98,266.707,246.907
612.649,257.206,262.57,256.363,256.187,249.038
612.82,279.722,271.237,274.058,275.979,281.846
612.991,284.606,293.572,292.829,289.066,283.998
613.163,304.431,299.684,289.66,313.108,314.159
613.334,313.823,284.382,286.991,310.293,288.905
613.505,294.963,310.601,291.606,303.806,305.059
613.676,274.688,269.768,291.68,301.783,262.127
613.847,248.151,249.735,238.505,244.619,256.985
614.018,249.624,234.812,242.055,234.102,239.141
614.189,245.14,229.066,240.303,232.77,243.274
614.36,230.828,249.837,248.043,234.22,244.922
614.531,243.304,257.876,244.561,255.488,247.312
614.703,268.628,266.647,288.129,269.5,264.251
614.874,305.626,301.56,300.605,285.571,304.398
615.045,318.857,352.09,358.681,345.719,331.67
615.216,382.68,389.913,402.766,401.753,415.765
615.387,429.972,424.865,468.868,437.744,440.455
615.558,436.538,445.853,441.764,446.184,437.193
615.729,410.94,407.104,423.664,425.574,439.746
615.9,355.779,348.419,374.301,365.803,364.13
616.071,293.401,287.904,277.575,288.023,293.014
616.243,243.175,246.638,238.795,254.482,251.552
616.414,215.597,216.765,214.35,218.762,231.892
616.585,192.97,191.638,172.552,191.757,187.998
616.756,206.183,197.14,190.975,188.298,200.377
616.927,217.935,222.445,191.822,225.492,210.651
617.098,209.864,210.613,191.907,213.45,220.751
617.269,190.292,209.818,202.604,201.594,209.096
617.44,203.723,202.192,188.971,188.588,196.27
617.611,159.051,180.172,168.618,183.821,171.758
617.782,151.261,176.626,169.204,175.703,163.388
617.953,145.763,142.57,157.617,162.222,144.962
618.125,152.108,181.95,154.816,163.574,167.928
618.296,154.455,145.621,137.164,154.492,142.398
618.467,147.699,156.356,148.121,148.154,135.668
618.638,147.626,129.449,147.216,136.223,148.488
618.809,144.688,145.235,128.059,148.886,154.908
618.98,157.221,155.481,146.832,156.013,170.559
619.151,164.264,191.876,180.926,175.337,175.329
619.322,199.971,199.273,184.817,208.318,187.125
619.493,206.919,207.471,221.228,212.763,220.007
619.664,208.502,215.277,222.622,206.674,212.683
619.836,202.156,206.23,207.552,203.026,201.981
620.007,162.286,167.817,155.653,171.666,176.015
620.178,136.373,120.129,137.004,134.962,129.977
620.349,101.252,111.553,114.747,122.456,116.014
620.52,112.116,95.6858,108.605,97.4533,96.822
620.691,123.138,114.589,106.805,94.0096,99.1714
620.862,107.275,100.965,117.049,99.4179,102.942
621.033,95.0792,122.821,118.543,129.162,121.265
621.204,128.705,133.815,109.649,127.088,116.095
621.375,157.575,123.416,153.01,137.456,156.151
621.546,141.541,155.346,157.91,158.77,164.352
621.717,182.482,207.271,182.077,163.672,195.15
621.889,203.442,193.411,198.471,211.989,204.925
622.06,211.118,214.985,230.19,216.132,219.645
622.231,229.128,245.011,211.735,229.377,210.1
622.402,230.219,248.596,247.224,235.649,223.825
622.573,229.203,238.243,210.997,215.169,218.678
622.744,209.2,200.833,211.283,205.3,217.113
622.915,207.092,218.601,199.871,205.276,198.445
623.086,210.6,203.699,206.055,218.924,233.821
623.257,197.888,218.528,221.713,221.331,204.961
623.428,208.893,235.365,196.46,215.57,214.316
623.599,187.038,203.924,199.039,194.523,201.335
623.77,190.77,179.719,179.798,177.137,186.243
623.941,169.985,171.781,166.693,160.116,157.008
624.113,149.481,134.528,151.147,147.25,140.209
624.284,149.287,140.547,140.829,127.847,136.719
624.455,137.43,142.737,124.431,115.788,143.039
624.626,112.438,130.758,144.468,132.312,122.592
624.797,142.928,110.079,113.271,126.165,119.517
624.968,111.143,125.969,135.354,126.078,107.452
625.139,129.407,113.623,142.86,139.996,144.949
625.31,121.946,133.072,116.771,134.221,122.807
625.481,146.529,124.675,133.468,149.474,149.879
625.652,142.462,136.813,145.368,149.535,135.878
625.823,170.233,159.385,143.092,140.845,151.197
625.994,154.462,128.267,143.897,151.6,160.92
626.165,157.062,154.296,161.218,148.81,164.558
626.336,179.371,158.713,162.905,150.371,168.075
626.507,176.006,172.008,164.017,167.773,165.28
626.679,166.231,173.404,156.727,180.546,162.126
626.85,170.424,170.145,155.506,164.66,176.052
627.021,168.256,188.493,183.185,169.748,186.73
627.192,190.253,188.734,206.006,172.273,194.635
627.363,207.107,198.351,185.189,172.188,185.624
627.534,188.419,182.97,193.19,192.808,179.759
627.705,188.016,182.768,196.105,186.4,188.255
627.876,170.927,161.364,184.983,184.601,177.156
628.047,164.434,164.16,185.129,176.887,175.015
628.218,161.326,146.336,165.065,172.556,153.69
628.389,173.432,177.912,169.519,171.616,164.996
628.56,182.28,170.211,173.599,164.734,162.24
628.731,168.3,160.565,149.457,174.764,172.475
628.902,175.605,160.437,156.584,173.165,172.948
629.073,165.438,178.819,184.069,173.963,179.746
629.244,172.079,178.844,175.816,170.878,183.914
629.415,186.132,180.063,171.863,175.413,185.543
629.586,204.715,187.256,195.823,200.202,172.864
629.758,195.572,190.741,187.092,203.482,162.68
629.929,192.174,196.454,179.133,192.008,173.977
630.1,170.917,184.95,165.74,170.543,165.763
630.271,168.955,184.032,183.698,142.846,169.194
630.442,137.148,166.43,146.459,152.071,143.173
630.613,154.963,166.278,154.766,169.905,153.132
630.784,164.888,145.138,149.153,148.356,153.94
630.955,161.028,152.869,172.027,168.119,148.202
631.126,163.64,174.963,178.77,173.624,157.872
631.297,181.908,181.208,196.675,184.857,164.684
631.468,203.379,208.698,206.705,191.192,202.375
631.639,201.275,201.204,184.91,196.756,194.052
631.81,202.054,216.062,181.158,197.335,206.433
631.981,203.004,198.18,196.603,194.359,209.655
632.152,202.185,193.024,203.23,218.559,204.492
632.323,221.757,215.886,221.559,219.934,214.537
632.494,236.953,229.222,217.081,243.622,227.251
632.665,252.462,244.914,242.92,224.062,258.097
632.836,237.352,236.043,223.705,220.219,243.385
633.007,222.113,211.91,219.227,217.397,212.629
633.178,201.942,209.943,201.745,204.673,214.18
633.349,202.637,211.066,170.097,207.653,201.424
633.52,181.403,185.275,184.319,200.352,183.927
633.692,201.417,197.811,185.013,190.655,207.472
633.863,205.948,183.931,192.913,189.011,202.46
634.034,191.607,188.845,206.531,184.606,198.06
634.205,205.538,181.241,191.466,169.962,187.968
634.376,185.595,191.322,176.087,184.189,177.764
634.547,184.106,183.625,170.876,202.562,183.931
634.718,186.115,169.465,185.71,180.561,188.841
634.889,169.558,195.185,164.594,200.685,189.277
635.06,188.308,179.529,197.646,208.045,184.607
