Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
669.424,16377.5,16379.5,16378.4,16378.3,16378.0
669.594,16377.5,16379.5,16378.4,16378.3,16378.0
669.765,16377.5,16379.5,16378.4,16378.3,16378.0
669.936,16377.5,16379.5,16378.4,16378.3,16378.0
670.107,16377.5,16379.5,16378.4,16378.3,16378.0
670.278,16377.5,16379.5,16378.4,16378.3,16378.0
670.449,16377.5,16379.5,16378.4,16378.3,16378.0
670.62,16377.5,16379.5,16378.4,16378.3,16378.0
670.791,16377.5,16379.5,16378.4,16378.3,16378.0
670.962,16377.5,16379.5,16378.4,16378.3,16378.0
671.132,16377.5,16379.5,16378.4,16378.3,16378.0
671.303,16377.5,16379.5,16378.4,16378.3,16378.0
671.474,16377.5,16379.5,16378.4,16378.3,16378.0
671.645,16377.5,16379.5,16378.4,16378.3,16378.0
671.816,16377.5,16379.5,16378.4,16378.3,16378.0
671.987,16377.5,16379.5,16378.4,16378.3,16378.0
672.158,16377.5,16379.5,16378.4,16378.3,16378.0
672.329,16377.5,16379.5,16378.4,16378.3,16378.0
672.5,16377.5,16379.5,16378.4,16378.3,16378.0
672.67,16377.5,16379.5,16378.4,16378.3,16378.0
672.841,16377.5,16379.5,16378.4,16378.3,16378.0
673.012,8142.3,8260.12,8254.84,9177.05,9102.29
673.183,16377.5,16379.5,16378.4,16378.3,16378.0
673.354,446.979,448.983,422.134,444.185,426.923
673.525,223.116,257.964,223.307,217.726,231.991
673.696,231.912,229.599,228.001,252.65,220.054
673.867,238.853,248.838,223.729,227.649,225.711
674.038,216.468,230.804,228.989,220.806,223.839
674.208,231.056,238.685,232.112,215.06,215.28
674.379,232.064,221.706,228.999,239.014,208.219
674.55,232.915,216.047,214.013,217.522,217.093
674.721,233.952,220.817,214.244,214.714,223.585
674.892,238.176,218.34,203.335,224.78,222.622
675.063,222.532,216.523,213.191,223.625,206.518
675.234,227.274,214.549,238.943,221.652,214.725
675.405,210.526,214.483,226.111,213.788,220.299
675.575,215.329,206.943,186.509,222.484,204.953
675.746,202.252,188.21,196.803,203.346,191.857
675.917,175.421,201.033,213.079,176.947,180.633
676.088,192.17,180.736,191.925,182.642,194.569
676.259,181.757,191.988,204.892,187.396,184.586
676.43,177.956,191.456,192.676,183.171,179.705
676.601,187.348,190.655,182.764,177.378,196.908
676.772,183.512,191.81,184.569,191.549,204.14
676.942,165.595,179.116,164.261,179.509,177.777
677.113,173.249,171.55,172.781,174.78,180.452
677.284,170.328,171.246,182.044,165.332,157.071
677.455,167.015,158.994,173.739,167.892,164.629
677.626,172.35,185.228,153.183,161.701,159.968
677.797,158.615,159.968,184.25,181.243,190.167
677.968,164.971,175.891,161.461,156.933,159.548
678.138,146.22,154.765,170.167,169.987,142.309
678.309,177.158,149.844,153.456,174.125,169.787
678.48,160.746,143.601,152.663,143.996,145.308
678.651,143.412,141.933,135.541,148.644,160.408
678.822,164.953,148.84,159.68,152.951,150.121
678.993,162.832,153.517,128.404,163.709,147.606
679.164,132.15,148.737,154.318,155.662,137.821
679.335,152.502,147.758,156.389,166.006,143.806
679.505,162.74,152.12,141.158,151.209,133.584
679.676,147.26,156.028,144.173,158.39,154.907
679.847,149.142,151.583,129.49,142.172,159.182
680.018,160.228,144.354,154.09,144.535,160.676
680.189,147.185,157.705,151.299,146.098,142.83
680.36,152.796,148.916,158.213,152.148,155.206
680.531,146.99,139.822,155.037,150.925,152.898
680.701,141.31,155.705,143.018,149.577,145.888
680.872,125.054,121.171,146.832,130.948,134.227
681.043,132.569,157.198,145.155,123.875,125.839
681.214,137.895,126.388,154.862,143.785,140.305
681.385,141.485,127.579,133.824,119.694,141.715
681.556,128.1,139.279,139.86,135.093,122.869
681.726,153.674,135.392,133.79,138.191,137.107
681.897,142.911,144.259,131.266,122.763,132.627
682.068,114.868,137.011,134.313,119.467,142.896
682.239,128.566,148.944,147.559,125.288,139.732
682.41,98.0565,115.61,125.174,130.249,125.44
682.581,140.45,126.884,107.952,138.477,133.661
682.752,117.617,133.383,109.938,123.3,113.479
682.922,119.896,120.151,126.645,133.907,124.284
683.093,112.822,130.794,134.221,153.725,109.333
683.264,130.565,102.064,114.505,122.884,102.921
683.435,99.8649,106.906,116.467,114.097,127.46
683.606,138.741,125.201,117.685,121.665,112.477
683.777,124.939,105.222,114.807,126.037,120.121
683.947,103.865,115.928,127.225,127.701,122.68
684.118,123.252,121.969,123.434,130.271,127.867
684.289,111.597,110.532,110.024,118.176,111.607
684.46,117.459,117.492,119.613,116.803,111.551
684.631,93.5746,99.7348,108.846,95.5457,108.018
684.802,102.314,121.19,97.4566,97.4954,107.801
684.973,99.9317,93.1486,113.954,100.371,93.7885
685.143,97.307,119.884,102.742,121.382,100.381
685.314,105.449,104.168,88.537,104.793,82.2288
685.485,105.915,116.254,103.904,92.7581,96.9336
685.656,105.073,109.278,95.1361,100.893,92.1062
685.827,79.5983,92.8284,89.9012,106.447,97.8735
685.998,116.141,100.32,103.995,112.178,92.8202
686.168,106.858,89.3335,86.1921,89.3033,87.7762
686.339,107.566,106.058,99.4006,101.856,114.604
686.51,85.2198,115.103,102.522,101.464,106.083
686.681,93.6604,106.862,101.086,103.759,102.451
686.852,104.459,99.432,107.716,106.657,95.2372
687.023,102.155,109.218,110.251,98.1965,107.221
687.193,83.0699,111.233,112.045,99.9946,83.7382
687.364,105.384,98.6057,108.199,109.336,91.339
687.535,114.284,107.05,88.9441,83.2636,103.293
687.706,120.823,101.677,85.5282,115.533,114.662
687.877,108.557,100.887,86.0864,111.415,81.0775
688.048,102.098,79.161,101.834,93.9272,101.222
688.218,77.0011,103.527,102.36,81.8566,83.8559
688.389,82.755,88.9483,99.9031,101.706,99.9531
688.56,95.5648,94.9233,92.8742,81.8826,100.205
688.731,86.0491,89.158,84.021,73.4729,85.6154
688.902,94.72,94.2982,100.194,77.9419,98.038
689.072,94.7786,108.724,109.547,104.502,89.4786
689.243,99.9837,93.8146,90.4384,96.223,88.9429
689.414,93.6409,96.7541,102.672,87.6574,90.9902
689.585,85.4935,88.3829,82.5787,91.0103,93.4506
689.756,98.4249,74.5024,116.994,87.1159,81.8094
689.927,89.1053,81.5907,83.5237,93.3061,112.138
690.097,79.9406,70.1961,92.0875,112.969,90.3666
690.268,84.4164,94.8492,95.6781,98.6012,89.9654
690.439,95.8664,90.9858,94.4843,87.6378,81.6526
690.61,86.0548,101.365,78.9122,84.7174,95.3727
690.781,84.6213,83.7412,103.891,89.4982,80.4072
690.951,90.8533,75.382,50.3218,73.3703,93.5144
691.122,68.9775,74.3165,90.4785,70.0798,82.3121
691.293,85.6299,79.6336,88.9148,76.7289,82.7444
691.464,86.0506,68.7237,83.5568,82.4863,78.944
691.635,81.5123,71.2769,70.555,93.967,82.4065
691.806,95.9944,83.0581,72.0777,65.8739,76.1478
691.976,60.0606,70.7405,85.8083,70.059,54.7273
692.147,83.6113,58.712,84.2285,67.3696,62.7134
692.318,69.1799,80.9373,71.1275,82.2485,62.0938
692.489,75.615,71.1819,68.2386,80.4919,67.6259
692.66,66.5834,67.2562,65.2001,50.1256,78.8132
692.83,61.8925,52.5719,65.1751,76.9869,69.8928
693.001,68.4637,72.4722,67.5238,57.7773,64.2415
693.172,62.1115,81.5228,66.7444,83.9669,86.2129
693.343,80.4314,82.6632,69.1434,75.4738,77.0628
693.514,53.3085,74.489,54.8333,84.7768,83.2016
693.684,74.3143,77.7181,85.6123,102.855,63.843
693.855,69.5417,63.6981,71.8108,67.8141,62.377
694.026,84.7786,67.0243,59.2638,58.3408,55.703
694.197,91.3824,73.1366,68.7123,67.5182,59.5701
694.368,80.7859,85.8652,97.7087,76.8386,75.8815
694.538,85.539,80.823,78.3536,68.574,77.708
694.709,61.8934,72.7492,50.5191,52.4009,76.3869
694.88,84.8708,87.1496,95.6226,73.7821,74.376
695.051,82.5756,75.9572,69.5478,61.4978,83.2943
695.222,80.1509,105.744,74.9023,90.0654,78.2245
695.392,70.015,97.7805,61.2044,60.4668,74.4959
695.563,72.1343,95.2753,68.3161,65.6439,81.0962
695.734,81.5939,69.065,61.7294,78.3147,45.1132
695.905,50.6344,74.754,49.7585,46.1061,78.9289
696.076,60.5545,68.7092,70.7377,77.2374,61.8929
696.246,52.6987,55.6131,55.6126,59.83,67.6344
696.417,67.5942,68.4448,78.7441,46.4437,49.2172
696.588,61.3009,55.998,42.5011,61.3488,67.3355
696.759,84.9882,79.1025,82.6105,74.7784,58.7806
696.93,92.065,94.9655,56.2271,89.7887,83.7937
697.1,76.6488,56.2788,81.2271,74.701,69.6456
697.271,70.0518,57.1992,50.5829,76.1249,53.9187
697.442,77.5727,79.0323,64.8588,53.9171,83.4011
697.613,65.7492,68.047,66.3184,65.5632,59.3236
697.784,67.8014,70.8859,67.0478,67.1136,65.0646
697.954,72.9642,69.5699,54.9962,83.1446,57.9593
698.125,71.7544,68.7338,61.2658,70.6399,65.4108
698.296,44.1551,69.4306,74.4451,63.8592,52.2805
698.467,58.887,85.0482,63.6313,48.8051,72.756
698.637,81.3284,71.6671,69.7662,78.5744,55.7581
698.808,74.9103,94.0827,78.4484,70.1678,66.049
698.979,91.8433,93.1133,67.3827,70.663,95.7704
699.15,83.6037,83.1411,80.483,69.1456,84.0577
699.321,86.1704,91.9189,92.489,88.562,78.4098
699.491,101.081,78.2911,98.4154,68.1553,74.2253
699.662,81.1921,100.765,90.0607,84.8504,75.6271
699.833,95.6018,105.406,104.484,109.315,92.0366
700.004,100.129,113.886,101.971,119.266,104.081
700.175,108.878,119.346,129.115,115.992,109.829
700.345,111.577,113.839,95.0948,116.682,111.041
700.516,105.175,98.8177,112.911,110.503,101.69
700.687,103.384,117.141,106.917,102.567,91.1159
700.858,79.924,101.659,87.096,84.714,69.6641
701.028,75.3819,72.2932,72.0937,69.2311,67.0898
701.199,68.0586,68.62,75.6709,67.0173,75.7661
701.37,81.7955,55.281,54.5935,65.766,81.7649
701.541,42.5985,50.6422,58.6391,79.4388,63.0757
701.712,65.4504,51.9526,67.0189,47.4407,72.9315
701.882,72.2171,86.0878,49.826,53.75,72.428
702.053,68.7331,76.5583,66.6681,62.3606,59.2559
702.224,60.5121,67.6126,85.582,64.3131,70.4142
702.395,69.9768,65.6752,67.1755,57.7565,56.8299
702.565,76.1588,69.9273,91.0636,70.9907,79.0365
702.736,78.8907,90.5981,70.522,44.3979,79.1013
702.907,70.5612,60.0315,67.7847,72.1776,64.0195
703.078,66.3816,66.4661,64.5725,63.419,75.0267
703.248,77.9161,72.2137,54.6496,66.996,91.1459
703.419,71.2864,62.2011,73.5752,55.0505,52.4392
703.59,75.6842,67.5228,79.4325,76.3355,89.7024
703.761,95.3647,96.1644,90.1417,83.6444,88.783
703.932,89.7639,79.4436,70.5345,69.1355,82.7205
704.102,86.2175,86.2916,76.8823,37.9243,68.9826
704.273,62.603,70.6602,71.9071,56.7261,68.8589
704.444,77.4155,71.8948,74.6118,66.645,78.1116
704.615,71.6498,60.3048,78.0773,64.2863,75.9888
704.785,97.7518,75.2309,80.3753,77.9987,93.3468
704.956,63.396,93.2787,63.2681,61.3814,61.4256
705.127,78.7193,68.1513,83.6736,63.4032,36.3503
705.298,62.0396,60.9057,56.3463,46.4752,49.9072
705.468,54.9398,58.1647,67.1775,51.2266,51.5133
705.639,55.6793,54.7848,63.0615,55.1193,59.7661
705.81,68.5041,54.7555,72.9827,39.5728,46.164
705.981,48.259,41.0333,56.6372,54.0155,56.7351
706.151,62.8217,50.7714,60.7536,49.4101,64.0021
706.322,37.7444,53.5487,40.2796,51.9457,52.2312
706.493,47.172,41.6776,40.7487,65.9851,71.1142
706.664,64.3192,50.6137,56.6971,50.9454,56.0668
706.834,43.2031,55.1672,35.7921,38.0289,52.6368
707.005,37.9866,46.3004,65.0025,49.5439,53.4657
707.176,69.2156,50.8533,23.486,46.3387,44.4427
707.347,53.3944,42.775,54.4789,55.746,37.0856
707.517,50.8761,57.7448,48.0757,34.2886,57.1564
707.688,52.0017,40.9502,42.6823,58.4593,48.8257
707.859,62.2302,49.2113,38.1,47.8499,65.3501
708.03,68.4318,58.0708,50.8341,55.2536,69.8554
708.2,49.3459,56.93,60.846,52.9041,46.1652
708.371,48.5681,52.2763,67.0936,64.7232,59.9222
708.542,56.983,54.8764,50.7977,62.9648,46.7748
708.713,51.2115,54.432,55.6776,68.2952,51.181
708.883,49.2753,54.9193,50.601,62.0318,58.444
709.054,50.9615,72.5522,64.13,59.831,71.7179
709.225,74.4046,53.7187,63.6554,75.2976,77.7551
709.396,73.7842,52.3591,76.0753,71.7779,70.3711
709.566,62.5971,39.4405,72.8769,79.221,49.9815
709.737,90.5298,53.8578,60.9073,62.6515,55.4414
709.908,63.5438,69.9169,89.3377,58.8655,84.8309
710.079,82.5683,64.724,76.1451,71.5962,58.8058
710.249,55.7312,85.8828,52.934,65.3577,81.6549
710.42,66.9891,62.4725,61.5434,66.1897,57.7695
710.591,66.0713,71.4712,79.2528,54.8666,81.042
710.762,66.1585,63.0937,68.2087,57.6228,57.666
710.932,48.6436,67.6425,65.0154,81.8114,62.6857
711.103,87.0325,77.6572,70.9134,69.754,62.0446
711.274,79.0386,60.7022,63.8916,92.0445,63.9877
711.445,72.2542,75.2359,71.8841,77.7514,63.4998
711.615,83.8187,63.8045,74.2519,51.7932,76.768
711.786,73.3685,53.0832,56.7595,48.8135,73.8215
711.957,52.1761,62.7034,74.9122,77.6409,62.1169
712.128,69.7375,53.7573,49.4252,50.9367,45.6328
712.298,59.7653,59.344,62.3107,59.1991,74.3362
712.469,54.8641,73.1578,42.3407,49.1972,55.8033
712.64,66.1473,53.5313,57.2362,57.533,60.2614
712.81,59.0489,66.6842,63.8016,49.1884,63.4134
712.981,53.0959,62.4747,46.8179,88.3631,55.2682
713.152,82.0577,68.8955,47.1636,64.5955,67.8253
713.323,50.7293,64.2773,59.179,58.0058,48.238
713.493,57.3026,55.1388,51.0183,58.6899,63.8995
713.664,83.2719,80.3699,79.4439,63.5224,63.0803
713.835,75.5221,55.9592,68.7631,55.822,59.7935
714.006,73.6775,66.0925,86.0869,68.9129,70.9317
714.176,76.4745,77.7514,86.4011,79.3345,59.4952
714.347,58.0948,71.4161,65.8196,73.0025,68.3814
714.518,55.1549,62.5733,86.4605,78.8986,62.7332
714.688,67.9176,72.6461,67.0319,81.6473,75.0349
714.859,77.7571,72.3765,72.1905,71.5056,63.6687
715.03,68.4196,79.8326,64.8094,74.5107,68.6263
715.201,80.8958,76.7408,77.7896,89.4415,93.9339
715.371,89.7474,88.3037,80.7105,82.7411,91.6831
715.542,85.3691,84.6613,76.8081,89.4829,99.1852
715.713,93.2049,83.3508,91.0798,93.3601,95.637
715.884,100.682,97.993,103.999,89.2026,96.6805
716.054,90.7683,80.3995,99.5353,80.2732,108.806
716.225,108.97,116.19,94.6875,90.28,96.0352
716.396,99.7597,110.448,107.293,90.9914,97.4877
716.566,112.515,105.127,95.2946,92.3805,72.3908
716.737,100.873,101.155,106.417,98.0582,104.544
716.908,87.0138,120.905,113.061,113.363,106.248
717.079,114.017,107.107,116.099,91.3645,111.497
717.249,104.843,133.611,93.5466,131.255,117.683
717.42,109.619,132.992,116.919,118.961,122.243
717.591,138.06,113.516,117.557,135.235,138.763
717.761,129.585,116.174,132.915,142.177,118.595
717.932,122.472,118.009,129.791,117.142,124.172
718.103,164.275,138.306,139.632,144.935,134.247
718.274,128.002,156.984,138.083,140.386,153.426
718.444,152.553,139.065,133.641,151.201,165.26
718.615,153.308,122.07,139.149,152.206,146.762
718.786,140.376,118.619,133.961,126.762,147.586
718.956,125.251,139.798,115.316,130.912,131.721
719.127,139.57,135.795,138.902,130.147,129.199
719.298,131.055,125.022,126.364,145.032,114.408
719.468,140.372,127.268,151.546,118.593,139.064
719.639,138.949,141.217,135.499,140.354,144.959
719.81,124.675,142.104,145.479,118.753,131.952
719.981,148.403,120.144,123.008,137.446,144.822
720.151,145.963,121.705,153.121,128.169,138.587
720.322,139.189,131.875,145.579,134.29,137.627
720.493,125.848,119.796,121.396,147.169,136.387
720.663,119.238,134.575,114.299,134.967,111.65
720.834,129.766,148.437,146.002,119.815,140.315
721.005,122.991,141.159,112.223,143.073,132.027
721.176,128.083,149.85,126.394,126.705,128.032
721.346,133.726,125.323,126.691,126.495,133.927
721.517,150.039,143.661,148.847,140.257,140.574
721.688,134.388,126.474,146.689,137.581,126.696
721.858,126.912,143.977,161.934,133.681,127.622
722.029,118.101,146.95,111.789,129.225,141.045
722.2,138.687,134.587,130.865,146.215,159.529
722.37,119.273,137.357,140.519,137.773,121.769
722.541,139.602,134.465,136.613,156.087,144.911
722.712,127.635,117.179,134.587,126.755,136.491
722.882,144.199,137.81,155.74,144.082,143.126
723.053,131.504,148.566,123.931,146.941,152.87
723.224,153.88,136.74,150.892,137.925,153.57
723.395,135.41,143.541,121.985,145.23,124.655
723.565,130.599,144.116,113.042,135.08,128.5
723.736,127.465,126.67,123.195,121.465,117.44
723.907,126.737,121.104,137.523,124.324,132.292
724.077,125.624,145.178,142.734,138.472,124.809
724.248,142.648,132.945,131.262,139.729,121.703
724.419,130.018,147.305,140.787,137.792,142.436
724.589,146.564,144.004,151.728,150.516,109.397
724.76,135.236,134.206,127.447,148.068,138.737
724.931,144.176,130.674,136.369,142.534,118.173
725.101,139.606,152.057,126.96,127.019,120.465
725.272,152.912,137.538,142.758,132.332,142.371
725.443,152.398,173.134,142.471,154.071,166.188
725.613,157.721,164.864,142.673,151.96,141.261
725.784,137.939,133.029,148.017,157.569,149.939
725.955,144.091,136.854,144.163,135.484,128.096
726.126,145.582,135.247,126.869,134.391,125.453
726.296,113.638,96.3008,122.223,130.284,131.642
726.467,124.768,133.498,105.47,125.672,130.905
726.638,104.399,141.03,124.357,124.418,114.671
726.808,117.339,117.286,117.147,105.304,101.75
726.979,117.554,118.794,128.257,116.124,107.373
727.15,92.8662,102.958,106.731,119.816,90.7185
727.32,109.457,95.7886,95.398,99.3828,90.8285
727.491,96.0396,89.1587,107.876,100.349,92.0469
727.662,80.2132,84.8613,99.1996,74.8099,89.3475
727.832,89.6691,70.4294,82.1142,76.1416,69.3929
728.003,47.286,57.6994,75.9373,70.7541,90.7666
728.174,72.888,50.9459,82.4205,64.5798,67.8158
728.344,70.4286,78.2404,47.837,70.8096,59.0367
728.515,66.7382,71.3926,72.0621,70.8086,80.9003
728.686,78.156,64.9124,87.6831,93.0101,75.9818
728.856,75.0096,62.7938,95.0961,57.2015,93.6555
729.027,96.5163,91.1554,74.1663,84.246,71.4081
729.198,71.9016,86.8522,103.359,100.52,80.8041
729.368,74.0965,75.0576,93.7191,77.1208,99.1519
729.539,85.1954,84.8337,79.9545,101.712,81.9494
729.71,85.1505,88.2312,84.1367,82.0794,86.1388
729.88,98.8543,79.2825,97.5655,82.7041,87.0503
730.051,79.2109,92.9784,85.9285,98.0094,78.8679
730.222,82.0434,91.5641,80.4764,68.7566,85.7161
730.392,56.0834,86.7912,115.911,79.7834,90.8595
730.563,80.7854,91.6739,78.4047,90.2959,74.7943
730.734,66.3656,100.108,75.2743,86.3636,81.0718
730.904,99.6574,108.137,100.501,70.4259,90.1579
731.075,90.8469,93.4038,96.2516,104.367,101.768
731.246,85.9659,97.9307,92.1852,92.5213,105.238
731.416,97.5849,103.377,93.5793,86.3725,84.0334
731.587,100.878,93.7327,82.3122,85.8844,101.336
731.758,85.0425,93.291,85.8866,83.2475,67.9018
731.928,75.2927,83.2803,101.358,75.9344,80.6332
732.099,55.0522,73.6913,82.3213,74.218,76.7601
732.27,74.1762,72.656,59.4916,65.0098,65.1001
732.44,56.2722,77.9107,69.922,73.2609,67.6296
732.611,49.9342,62.0531,58.1468,63.9474,44.6625
732.782,66.7491,67.6778,87.8152,35.1448,68.848
732.952,35.1091,49.1545,65.7392,57.8844,55.2434
733.123,39.1431,72.6063,49.8301,69.0382,72.9577
733.293,71.7467,45.3562,52.6479,59.0012,56.6339
733.464,75.5743,70.1717,91.2687,53.115,54.0342
733.635,56.8842,31.1246,55.2531,60.8254,41.665
733.805,49.5589,43.3033,66.6839,38.8855,57.1932
733.976,30.8432,69.0525,42.7372,61.8689,32.408
734.147,57.1323,75.5058,87.0756,49.4581,72.5573
734.317,68.5537,51.4334,52.7522,66.6963,56.8065
734.488,71.1336,65.6552,65.0325,53.436,57.4242
734.659,81.3813,74.505,63.0365,72.2868,77.948
734.829,84.6477,56.7855,58.1207,84.1695,93.2081
735.0,99.3979,112.027,80.1476,67.9405,88.9735
735.171,103.496,80.6662,78.3706,108.323,105.352
735.341,115.805,103.882,111.35,108.913,127.981
735.512,113.368,103.642,106.38,95.2637,87.2524
735.683,100.121,106.918,100.966,88.6845,85.4179
735.853,85.2113,66.4113,69.172,88.1008,92.1446
736.024,90.6904,78.3317,76.3065,75.5353,75.0763
736.194,74.4278,87.4715,72.1651,80.1515,78.8446
736.365,74.4868,89.2135,82.3888,65.8098,48.1321
736.536,64.9402,62.1334,60.1011,76.9468,86.1505
736.706,77.0879,62.6282,61.4486,66.0723,54.5277
736.877,42.5563,53.9653,56.7667,48.8809,50.98
737.048,54.9502,77.7294,36.1787,38.8137,62.8036
737.218,59.4016,66.5548,65.0901,71.1492,57.0144
737.389,73.3743,51.7205,66.517,53.7557,46.4481
737.56,46.8152,62.8561,64.8225,47.1659,75.5939
737.73,60.5919,72.9043,76.8678,57.7998,66.1972
737.901,60.4059,71.3231,79.0343,59.3215,84.3871
738.072,33.8885,54.3596,59.8078,40.0004,59.1362
738.242,45.3509,64.7335,73.9665,39.3334,64.6159
738.413,45.6634,34.3823,45.9307,48.0349,34.8433
738.583,40.522,55.3105,38.7576,66.6809,47.6556
738.754,29.2311,62.3736,51.8871,42.3707,35.51
738.925,59.391,53.8676,51.5252,52.4761,33.428
739.095,47.5475,64.7224,45.1893,59.2521,50.3409
739.266,42.3951,28.9021,42.0699,53.279,43.444
739.437,44.1043,62.2035,65.1133,64.6096,56.5482
739.607,66.275,86.4239,62.4447,56.0953,57.3851
739.778,49.1747,70.8341,61.4484,69.4409,54.9122
739.948,64.9643,70.2273,65.2224,98.8311,61.6045
740.119,57.1738,57.1392,65.0925,75.4885,57.9321
740.29,41.0409,66.1172,60.2075,69.4502,58.3474
740.46,68.343,37.4528,76.3072,54.4445,68.5105
740.631,56.3289,46.5082,66.6549,68.8116,75.4555
740.802,39.3127,57.9715,37.7835,13.2189,40.3707
740.972,41.9533,55.8733,59.1502,63.3957,56.3894
741.143,38.6196,38.8621,39.4663,58.6077,73.6254
741.313,33.3531,67.5193,61.5759,45.2935,36.4954
741.484,66.7055,39.2122,64.272,53.9189,28.9994
741.655,40.7392,52.6343,67.8944,34.1967,24.1631
741.825,62.4747,77.0823,69.6106,53.2243,44.3717
741.996,57.1608,45.9622,64.3214,42.159,45.9003
742.167,48.8992,79.3102,60.0117,72.7787,60.5354
742.337,56.6109,73.4987,53.5164,73.6151,64.05
742.508,81.327,75.1603,72.7623,75.5821,73.2913
742.678,108.782,102.312,72.5889,85.1242,81.619
742.849,66.2757,100.665,83.3022,73.6219,92.0785
743.02,57.0469,54.7935,94.6226,87.0596,66.0828
743.19,95.4443,91.9616,85.2632,67.8901,69.5642
743.361,81.3363,62.1894,72.0549,61.0944,95.3077
743.531,83.3032,87.1743,97.0265,75.6558,73.959
743.702,103.31,72.1575,80.8055,86.7328,87.491
743.873,63.7082,83.8781,103.291,65.2602,75.8565
744.043,98.7678,100.8,98.6898,101.866,101.086
744.214,127.368,122.287,117.7,92.7393,99.6901
744.385,142.272,148.961,113.629,143.211,124.423
744.555,138.25,142.145,137.547,107.849,133.132
744.726,130.493,134.086,145.686,92.4529,132.52
744.896,118.954,129.4,135.382,134.851,110.384
745.067,132.645,109.952,120.348,128.265,146.572
745.238,134.018,139.185,111.053,136.525,131.352
745.408,134.381,109.675,140.892,124.627,102.131
745.579,113.955,115.043,105.024,123.73,122.94
745.749,131.864,108.008,113.136,99.6538,141.172
745.92,144.258,116.273,122.355,129.085,132.402
746.091,105.913,143.692,117.833,133.743,104.483
746.261,127.143,116.158,118.464,125.546,122.848
746.432,107.549,114.35,136.994,138.996,142.334
746.602,124.346,157.189,135.041,118.62,144.824
746.773,190.074,146.135,169.212,171.863,158.616
746.944,146.697,166.299,180.443,158.821,194.116
747.114,180.42,184.372,195.957,190.306,183.443
747.285,168.081,180.677,166.69,185.026,153.191
747.455,171.243,168.784,191.998,130.772,176.207
747.626,131.927,142.618,143.995,129.347,138.487
747.797,136.249,108.12,122.657,99.6495,110.083
747.967,88.721,86.2533,120.454,104.788,100.45
748.138,66.0358,80.619,71.3888,95.6153,109.293
748.308,86.8548,67.3078,74.4961,93.9223,83.4583
748.479,67.4432,82.7464,77.3523,59.331,68.2362
748.65,59.6357,77.8633,85.0949,55.0788,58.8099
748.82,53.0413,73.2948,63.6493,46.834,72.7032
748.991,32.1952,52.478,73.1192,71.5902,68.5043
749.161,70.1479,41.4346,64.1274,52.4512,48.6997
749.332,58.9099,36.0828,43.0737,51.3537,37.7868
749.503,64.4626,80.2021,53.8938,77.8093,68.5213
749.673,42.345,53.8722,56.6104,54.0935,79.7907
749.844,64.1684,77.692,72.2374,71.0262,69.5612
750.014,48.3398,67.4209,39.029,63.7116,55.6929
750.185,59.5013,88.4437,62.3194,93.9184,71.1271
750.355,66.7246,49.9978,45.846,49.8986,71.1458
750.526,61.0775,65.0952,59.9481,51.4745,57.9199
750.697,64.3956,69.4057,36.5221,65.678,52.6508
750.867,88.6386,71.4855,90.812,86.6133,66.6085
751.038,54.6768,74.3136,82.089,85.1808,55.8121
751.208,71.4068,79.0959,84.5532,71.0312,60.911
751.379,101.639,68.9727,73.7898,63.2156,53.3885
751.55,88.11,89.4819,81.2779,68.0224,79.2294
751.72,46.8954,61.6497,51.0914,95.6963,83.1677
751.891,80.877,99.6859,60.9342,54.3323,61.2266
752.061,73.4237,83.1734,61.5366,74.7146,78.2531
752.232,78.1284,92.2647,102.162,84.4605,121.944
752.402,80.9622,91.0715,74.7523,97.0474,94.8821
752.573,57.6805,62.4231,74.7406,87.3424,84.1558
752.744,96.4857,66.0851,99.3637,95.7535,86.1442
752.914,86.5076,103.427,114.748,84.7601,96.7862
753.085,76.5257,80.5999,102.448,92.3911,79.7087
753.255,92.2216,110.941,109.069,102.03,108.351
753.426,97.1683,77.4588,93.2609,97.4474,88.4648
753.596,90.8633,75.895,79.1266,87.7399,79.7693
753.767,75.697,104.282,101.73,96.7336,83.3161
753.938,80.3111,84.4074,96.9088,81.2715,55.4524
754.108,86.7472,96.9933,102.639,85.3145,94.3988
754.279,99.1708,78.9888,77.7974,59.4433,131.442
754.449,93.7707,92.7335,88.4624,91.6514,55.5779
754.62,76.3794,74.3043,53.2099,62.5849,95.7261
754.791,68.852,78.7844,52.8945,92.11,94.7098
754.961,72.8195,69.6968,70.9156,73.4369,76.737
755.132,65.2792,50.4131,48.876,63.8258,75.4155
755.302,43.7226,77.6121,72.9584,94.1854,63.5812
755.473,86.5117,54.8867,37.3804,63.8724,63.0359
755.643,71.0014,74.0893,45.7574,54.5686,42.5969
755.814,58.5283,66.1403,63.9037,48.3566,25.595
755.984,66.2746,62.3901,49.3397,49.1041,82.7919
756.155,55.471,78.442,46.9055,74.5722,46.1798
756.326,38.4216,75.8339,52.5798,75.8053,59.9069
756.496,65.5558,58.518,40.2084,74.5552,83.4964
756.667,78.6341,99.2395,62.3259,71.5451,68.2527
756.837,84.6148,68.1265,69.731,74.0408,86.1386
757.008,83.47,47.4039,71.3849,37.9333,73.4556
757.178,47.3044,71.709,79.9493,55.9558,70.4886
757.349,83.2687,44.9955,97.0923,64.6015,84.0943
757.52,100.799,65.6269,77.0734,75.0813,58.7904
