?	Raw_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
377.239	0	10.936	13.5731	9.30357	6.53349	24.71	12.9745	18.0223	0	14.5497
377.41	70.3529	176.83	369.481	56.0464	352.1	186.502	240.674	0	127.929	124.141
377.581	446.711	345.113	579.32	179.089	362.022	196.896	526.089	0	626.928	264.132
377.752	388.428	334.056	128.026	70.8953	183.39	87.8875	292.897	0	217.464	198.564
377.923	3.37051	7.44158	2.7059	1.16703	0.581491	15.4812	37.606	4.15139	27.9379	18.9742
378.095	63.1012	105.028	43.7646	0	0	207.395	26.7682	319.707	77.4305	105.957
378.266	256.827	89.2784	166.593	105.405	111.514	108.744	168.958	121.603	169.853	105.791
378.437	346.681	295.791	439.919	244.265	0	239.542	257.979	181.458	210.819	210.575
378.608	101.451	0	180.772	0	162.004	150.777	280.792	239.066	116.543	198.014
378.779	24.7142	7.4861	0	35.618	14.5524	10.8836	10.3438	0	7.22932	11.6459
378.95	240.139	99.4701	212.376	37.3921	126.173	218.331	232.526	261.603	197.395	245.713
379.122	217.395	0	0	126.99	0	12.4472	33.0344	25.8109	83.5241	19.1424
379.293	0	8.21982	21.5065	14.7794	0	16.8056	27.1885	17.7638	33.6313	0
379.464	38.0604	14.0056	16.9158	23.2959	16.9759	19.0415	4.57535	21.6381	23.8523	0
379.635	468.744	565.189	38.9234	158.153	160.01	338.58	164.445	64.1786	236.564	278.92
379.806	466.818	332.228	261.482	307.687	542.029	643.294	498.425	471.136	489.114	422.176
379.977	23.4173	22.5732	9.09935	0	12.7093	8.49437	0	15.7331	0	21.2717
380.149	238.609	433.431	305.676	150.563	244.691	480.995	281.713	285.359	295.923	229.311
380.32	171.884	438.601	213.8	200.855	98.3093	22.6727	246.38	164.544	148.311	330.688
380.491	264.877	228.764	290.59	521.543	283.761	221.831	400.563	162.795	57.7629	405.724
380.662	353.038	178.093	466.2	479.024	398.938	276.277	216.263	333.258	264.849	260.869
380.833	317.915	467.936	238.142	144.173	150.971	52.8477	358.927	337.927	98.2941	274.323
381.005	95.0156	109.941	13.5212	289.008	98.5314	95.7808	430.468	325.296	446.795	15.9145
381.176	239.105	251.389	217.095	188.043	43.416	8.97155	252.909	243.238	396.722	445.028
381.347	107.572	170.035	5.82108	98.999	137.472	110.982	113.162	89.9908	137.697	289.94
381.518	427.997	149.524	399.823	193.533	277.787	244.063	313.346	155.032	222.859	127.369
381.689	269.095	118.414	87.0692	286.414	344.234	59.7586	177.509	310.783	86.2672	221.606
381.86	301.12	315.81	311.668	10.0038	187.713	365.341	174.953	305.855	137.453	377.429
382.032	786.857	183.166	130.097	355.554	144.956	352.497	299.075	855.489	332.565	133.495
382.203	426.338	81.7035	454.988	156.815	225.636	474.416	316.195	202.466	502.504	429.643
382.374	341.951	395.018	457.705	314.975	453.749	316.543	461.531	380.473	159.399	352.381
382.545	452.416	243.443	187.598	645.234	286.41	532.102	472.556	327.049	365.141	245.769
382.716	197.602	210.843	185.741	154.646	83.7237	145.188	295.532	368.921	360.939	382.63
382.887	334.811	357.304	363.692	467.038	434.144	437.82	269.671	328.759	207.501	553.982
383.059	285.032	171.033	212.02	84.3324	300.846	154.26	375.735	57.1898	229.703	353.614
383.23	618.885	316.733	597.103	388.148	344.091	434.364	411.895	482.885	379.108	404.379
383.401	374.143	281.583	340.558	359.421	259.783	406.583	206.359	281.291	262.619	211.014
383.572	617.329	407.713	264.767	619.78	165.625	487.993	380.793	598.565	391.455	434.741
