?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
379.293	19.9304	35.7126	11.3652	16.6369	0	16.6839	5.33449	23.3968	3.59783	6.87007
379.464	12.8821	4.63442	0	15.323	19.8268	0	23.1352	19.6253	0	0
379.635	0	0	362.34	0	251.459	149.743	29.149	46.5244	210.007	0
379.806	274.711	220.178	161.761	432.183	229.411	150.356	128.318	213.972	533.694	413.932
379.977	0	1.73315	0	0	8.73352	8.09965	6.0345	0	0	0
380.149	75.2658	281.894	242.762	288.321	276.698	154.981	106.917	0	232.28	126.738
380.32	151.051	78.7576	108.295	305.848	120.831	69.7639	0	19.1605	0	65.7635
380.491	195.288	55.6082	171.809	12.1049	97.2142	0	234.531	497.156	377.357	26.1404
380.662	129.888	314.882	138.964	97.0219	227.594	297.235	149.508	180.07	42.1025	229.088
380.833	0	59.1031	0.461196	13.1221	282.597	0	49.9202	33.5848	104.131	45.5037
381.005	15.3643	153.775	0	14.1809	195.551	0	218.832	197.262	56.5848	0
381.176	0	118.577	88.1154	184.929	241.467	227.6	182.116	24.0305	142.916	269.864
381.347	119.501	0	120.046	23.9148	31.1239	38.3792	124.306	0	0	58.9752
381.518	29.1672	50.6569	1.62635	0	94.8553	27.3711	102.725	0.856615	283.426	40.7775
381.689	0	170.354	0	62.8916	148.725	0	132.776	44.5713	0	129.087
381.86	0	348.602	18.2834	61.9876	376.098	94.8293	24.9378	160.777	180.208	143.727
382.032	271.418	453.128	419.713	226.99	357.118	91.2323	323.121	195.641	286.695	128.241
382.203	0	19.0539	139.067	235.191	239.751	421.264	478.811	280.697	193.873	51.179
382.374	325.441	312.587	137.873	234.979	8.12494	130.221	268.117	471.561	13.1491	58.2169
382.545	478.068	353.705	136.338	350.352	441.447	270.671	247.103	316.92	347.938	308.879
382.716	175.194	134.978	0	124.434	0	196.916	14.6815	132.487	204.968	78.0009
382.887	291.995	61.123	359.213	308.514	197.054	251.94	264.934	361.201	202.706	202.6
383.059	150.881	238.931	93.948	0	160.724	11.931	0	291.101	274.725	76.8896
383.23	436.032	178.699	223.576	57.6786	269.002	105.082	169.221	241.795	369.049	263.755
383.401	139.588	146.545	232.413	158.338	124.534	252.17	321.038	268.836	182.48	105.302
383.572	232.064	192.795	352.146	439.294	561.411	212.894	0	122.61	385.55	217.644
383.743	357.329	150.244	111.439	364.38	420.455	100.068	241.918	55.2059	215.687	240.67
383.915	82.3162	197.179	466.113	137.822	206.986	355.341	412.325	271.126	273.537	318.428
384.086	253.197	350.964	136.233	229.534	255.567	305.963	286.938	112.82	278.991	125.239
384.257	0	597.47	462.99	185.096	354.612	0	54.2493	252.617	460.666	187.415
384.428	195.567	79.3995	85.6121	192.1	236.666	193.661	41.831	204.11	101.485	169.941
384.599	136.631	162.224	51.2759	230.364	190.35	159.654	71.6298	157.299	104.694	199.554
384.771	456.1	499.673	261.137	63.8664	0	199.192	273.468	321.375	477.192	317.19
384.942	93.4164	55.1623	309.389	250.968	112.311	162.445	177.373	291.782	252.13	239.757
385.113	132.431	86.9923	129.112	103.968	207.941	17.3234	169.619	232.093	189.377	278.401
385.284	278.461	71.2157	202.41	38.0623	166.252	258.907	200.429	208.088	139.01	322.793
385.455	360.428	188.184	235.595	323.534	51.6477	240.047	117.058	206.7	130.312	51.909
385.626	286.243	185.154	232.051	311.315	86.547	152.811	106.238	26.4835	218.985	274.626
385.798	103.474	128.336	284.775	211.826	167.943	251.949	276.623	105.691	111.27	251.166
385.969	111.353	100.321	115.43	195.307	296.727	12.6741	212.154	253.75	131.832	110.576
386.14	285.09	79.2989	413.192	138.066	170.834	312.505	468.256	668.193	298.204	369.687
386.311	662.256	170.331	332.628	187.597	233.31	199.51	195.516	247.996	376.131	505.507
386.482	33.2372	141.413	218.214	104.303	304.806	211.33	99.666	209.091	129.546	192.939
386.654	112.023	127.601	188.422	133.446	172.377	256.603	175.08	329.06	258.149	255.859
386.825	161.231	227.611	231.316	78.6851	53.1525	151.751	199.217	236.821	328.767	207.616
