?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
372.617	405.306	53.7001	659.152	683.66	573.563	454.373	804.867	355.411	525.882	536.506
372.789	5.14531	2.50106	10.8076	21.0641	18.3772	0	14.6362	4.21512	12.2888	21.0878
372.96	24.7157	15.7909	36.6584	13.3278	14.7368	15.4476	29.0183	17.5049	19.5712	12.2592
373.131	21.7024	14.4161	12.346	13.3183	11.1775	16.2574	21.0899	11.488	46.3222	16.0726
373.302	15.3699	15.4563	18.3015	15.1778	0	6.37498	20.2187	20.4472	12.683	6.73638
373.473	22.8447	22.1119	26.8685	28.387	4.94692	2.10785	0	32.5641	25.8922	21.3109
373.644	7.54044	1.07325	18.391	29.7398	0	19.2986	12.1161	6.33718	11.6802	8.73729
373.816	167.158	374.533	28.9886	257.272	230.442	141.318	251.067	242.14	95.3234	231.544
373.987	27.3321	2.84256	25.8947	23.8632	11.3459	15.6065	14.4316	3.73742	16.7263	17.6063
374.158	226.644	334.196	324.824	453.55	111.4	297.027	265.234	186.875	335.569	200.526
374.329	8.52645	14.8934	10.6388	37.0063	13.5663	17.0078	18.0174	40.3643	0	0
374.5	382.394	197.812	393.053	697.672	294.821	449.848	495.277	240.22	810.238	524.826
374.671	171.898	411.655	203.872	485.966	348.693	208.875	143.737	130.448	186.845	565.87
374.842	576.308	481.725	685.243	657.584	734.855	748.069	343.28	918.359	504.81	960.704
375.014	665.422	911.489	304.004	195.363	704.664	496.32	125.044	703.971	59.2207	513.861
375.185	329.991	819.677	476.6	459.799	482.85	555.534	1011.38	720.121	453.321	600.136
375.356	345.211	17.2559	549.034	303.643	281.854	388.859	381.316	263.44	427.351	363.014
375.527	12.4448	4.88537	15.1033	23.7215	15.3001	7.54588	17.5667	23.2565	13.5809	16.0993
375.698	227.169	352.122	121.58	430.728	183.923	38.0075	227.614	445.405	323.947	196.253
375.869	16.3401	7.1423	20.0909	4.95231	21.38	8.1644	0	12.9524	24.5759	14.2602
376.041	449.443	533.764	139.812	375.87	363.874	883.869	483.026	873.083	474.741	522.09
376.212	387.671	598.743	168.827	420.249	403.986	229.273	280.686	451.822	100.912	430.452
376.383	333.497	796.986	455.615	634.169	936.123	307.72	648.312	542.824	711.067	983.059
376.554	31.2534	26.1515	0	16.0426	24.2783	16.251	0	4.92801	0	11.6972
376.725	20.9759	34.4426	41.6568	42.6291	21.3736	27.8188	30.7399	19.2265	10.37	23.8111
376.896	32.304	41.9477	5.1982	24.466	3.48354	20.0322	15.8535	5.97856	15.6906	39.5083
377.068	11.5616	0	15.0394	0.719933	14.69	17.5854	38.8019	26.7424	28.2625	34.0577
377.239	6.97812	21.264	18.6478	22.0778	27.3097	14.9133	9.3693	6.04793	8.66028	39.3046
377.41	335.386	476.33	302.956	548.776	328.763	361.24	469.446	482.021	369.12	446.278
377.581	704.537	824.361	545.697	497.22	663.379	500.954	582.137	561.745	666.306	486.289
377.752	152.26	455.345	206.723	397.304	369.771	356.108	451.785	286.601	428.75	381.01
377.923	23.4176	38.7957	28.8068	40.1556	36.6494	36.541	0.686632	37.233	25.3728	36.3563
378.095	108.67	181.849	311.051	245.751	243.217	290.898	163.899	269.896	432.579	365.327
378.266	143.542	211.018	243.161	279.819	329.605	198.474	126.293	409.819	191.625	295.447
378.437	303.444	416.211	372.996	182.609	538.006	502.835	455.859	433.804	362.023	200.369
378.608	343.383	308.69	444.893	406.45	222.302	330.047	432.175	347.127	246.529	345.169
378.779	6.25891	44.5747	15.198	41.2924	12.6641	8.73276	20.665	46.0157	28.4211	11.8248
378.95	162.886	124.505	329.922	245.027	336.542	423.852	317.511	391.58	433.641	352.506
379.122	0	161.452	100.154	293.463	170.044	109.989	242.755	243.224	198.873	217.906
379.293	28.2918	12.2673	35.8655	38.4763	39.3391	39.5038	38.3289	39.3766	27.7895	41.5036
379.464	31.0739	39.6254	34.5516	30.6087	28.741	40.9206	29.9152	6.93305	26.4755	0
379.635	625.347	420.331	703.452	388.64	795.407	242.374	953.156	674.357	894.931	282.011
379.806	822.921	584.882	376.304	641.377	549.766	782.733	792.91	486.642	717.148	632.199
379.977	19.4345	46.2815	51.8573	38.084	29.1165	23.2737	23.4641	27.2424	28.2164	45.4804
380.149	458.838	593.251	360.911	515.719	549.317	693.031	411.59	462.575	298.83	376.103
380.32	212.909	414.694	429.558	403.812	342.345	273.519	322.762	569.897	218.79	288.191
380.491	490.794	464.233	442.22	575.055	374.721	351.505	470.091	664.059	487.567	514.698
380.662	350.021	535.054	538.134	522.233	378.442	352.23	542.16	340.175	480.081	359.549
380.833	540.563	554.583	625.704	422.593	324.06	533.133	578.851	507.264	608.528	647.591
381.005	467.787	288.543	271.126	481.065	549.961	415.244	322.639	417.26	317.253	350.547
381.176	243.502	384.609	75.1397	547.879	238.051	333.825	457.145	254.384	177.597	508.888
381.347	376.187	193.17	196.266	92.9135	294.205	223.069	262.174	276.268	258.76	297.509
381.518	716.651	328.149	420.802	525.473	323.573	432.299	321.646	301.328	291.959	466.888
381.689	363.575	372.416	515.816	350.479	285.514	312.312	488.972	444.468	531.624	324.544
381.86	374.84	496.798	483.19	447.875	495.142	697.354	653.522	482.38	518.203	507.253
382.032	359.208	984.699	451.798	769.524	717.58	565.317	933.271	915.213	498.421	880.18
382.203	993.056	890.364	620.661	461.757	1152.01	642.209	963.778	438.671	618.997	738.902
382.374	435.745	739.216	593.419	681.062	711.534	646.549	713.473	670.945	602.89	605.995
382.545	746.242	681.107	664.399	433.384	616.188	578.681	515.529	691.571	654.798	602.94
382.716	192.144	485.294	441.151	303.161	419.136	564.666	301.132	360.344	415.79	394.537
382.887	413.106	664.109	679.938	491.519	664.944	699.814	413.304	355.231	431.101	460.077
383.059	289.737	391.336	510.45	523.878	350.077	296.474	537.964	540.959	537.73	351.626
383.23	631.778	553.583	642.961	605.778	1101.64	608.144	697.063	741.164	487.839	611.432
